mysql> select * from simplejob;
+---------+--------------------------------------------------------------------------------------+-----------+-----------------------------------------------------+----------------------------+---------------+----------------+------------+-------------+------------+-------------+---------------------+
| job_id  | job_name                                                                             | education | company_full_name                                   | finance_stage              | work_year_low | work_year_high | salary_low | salary_high | staffs_low | staffs_high | create_time         |
| 2836276 | 图像算法工程师                                                                       | 本科      | 深圳市伙伴行网络科技有限公司                        | 成长型(不需要融资)         |             3 |              5 |         30 |          40 |         50 |         150 | 2017-03-31 08:50:20 |
| 2847051 | 计算机视觉/图像处理算法工程师                                                        | 本科      | 深圳市弘金地网球发展有限公司                        | 成长型(不需要融资)         |             1 |              3 |         14 |          28 |        150 |         500 | 2017-04-04 16:53:45 |
| 2847989 | 图像算法工程师                                                                       | 硕士      | 深圳市菁优网络科技有限公司                          | 上市公司                   |             1 |              3 |         20 |          30 |        150 |         500 | 2017-04-07 09:41:45 |
| 2855600 | Rendering Programmer图像程序员                                                       | 本科      | 柳叶刀科技（深圳）有限公司                          | 初创型(天使轮)             |             5 |             10 |         20 |          40 |         15 |          50 | 2017-04-06 10:59:05 |
| 2858031 | 高级图像算法工程师                                                                   | 本科      | 深圳市泰爻光电科技有限公司                          | 初创型(不需要融资)         |             0 |              0 |         15 |          30 |         15 |          50 | 2017-03-23 16:31:28 |
| 2858623 | 图像处理算法工程师                                                                   | 本科      | 深圳市脸萌科技有限公司                              | 成长型(A轮)                |             1 |              3 |         10 |          20 |         15 |          50 | 2017-03-01 10:45:13 |
| 2863328 | 图像算法岗                                                                           | 硕士      | 深圳市歌尔泰克科技有限公司                          | 上市公司                   |             3 |              5 |         18 |          24 |       2000 |        2000 | 2017-03-21 13:22:54 |
| 2864718 | 图像视觉算法工程师                                                                   | 不限      | 深圳市同讯信息技术有限公司                          | 初创型(未融资)             |             0 |              0 |         10 |          13 |         15 |          50 | 2017-03-02 11:45:45 |
| 2867987 | 高级图像算法工程师                                                                   | 本科      | 深圳市牛鼎丰科技有限公司                            | 成长型(不需要融资)         |             3 |              5 |         15 |          30 |        150 |         500 | 2017-04-07 10:25:47 |
| 2875873 | 算法工程师（图像处理方向）                                                           | 本科      | 深圳智航无人机有限公司                              | 成长型(不需要融资)         |             1 |              3 |         15 |          25 |         50 |         150 | 2017-03-30 17:41:15 |
| 2888146 | 图像算法开发工程师                                                                   | 硕士      | 智慧光科技（深圳）有限公司                          | 初创型(不需要融资)         |             3 |              5 |         15 |          25 |         15 |          50 | 2017-03-20 10:13:35 |
| 2898067 | 基础研发-视频图像研发专家                                                            | 本科      | 深圳市迅雷网络技术有限公司                          | 上市公司                   |             5 |             10 |         18 |          35 |        500 |        2000 | 2017-04-06 18:31:14 |
| 2899317 | 图像识别算法工程师                                                                   | 本科      | 金蝶软件（中国）有限公司                            | 上市公司                   |             1 |              3 |         12 |          18 |       2000 |        2000 | 2017-04-05 16:49:55 |
| 2906846 | 图像测试工程师                                                                       | 本科      | 深圳岚锋创视网络科技有限公司                        | 成长型(B轮)                |             1 |              3 |          8 |          16 |        150 |         500 | 2017-04-01 09:56:29 |
| 2912167 | 图像识别视觉处理高级工程师                                                           | 本科      | 深圳市前海树人时代教育投资有限公司                  | 成长型(A轮)                |             1 |              3 |          9 |          18 |         15 |          50 | 2017-03-28 09:33:48 |
| 2932151 | 硬件工程师（图像传感器方向）                                                         | 本科      | 深圳市科创数字显示技术有限公司                      | 初创型(不需要融资)         |             3 |              5 |         15 |          20 |         15 |          50 | 2017-03-28 08:39:12 |
| 2933855 | 图像算法开发工程师 （实习）                                                          | 硕士      | 深圳信龙系统有限公司                                | 初创型(未融资)             |             0 |              0 |          3 |           6 |         15 |          50 | 2017-03-21 16:04:23 |
| 2933942 | 高级图像识别算法工程师                                                               | 硕士      | 深圳尊豪网络科技股份有限公司                        | 成长型(A轮)                |             5 |             10 |         20 |          30 |        150 |         500 | 2017-04-06 11:55:58 |
| 2954985 | 软件工程师（二维图像处理方向）                                                       | 本科      | 深圳市易尚展示股份有限公司                          | 上市公司                   |             1 |              3 |         10 |          15 |        500 |        2000 | 2017-03-27 17:25:52 |
| 2973325 | 图像处理工程师                                                                       | 硕士      | 深圳市茁壮网络股份有限公司                          | 成熟型(D轮及以上)          |             1 |              3 |         12 |          22 |        500 |        2000 | 2017-04-05 09:08:11 |
| 2989713 | Camera图像质量工程师                                                                 | 本科      | 深圳市深网视界科技有限公司                          | 初创型(天使轮)             |             0 |              0 |         10 |          20 |         50 |         150 | 2017-04-07 09:58:05 |
+---------+--------------------------------------------------------------------------------------+-----------+-----------------------------------------------------+----------------------------+---------------+----------------+------------+-------------+------------+-------------+---------------------+
60 rows in set (0.00 sec)

