职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
电商美工/网店美工/美工设计,深圳市宇辰管理咨询有限公司,,大专,1-3年,4000-7000元/月,20人,,http://jobs.zhaopin.com/325610081250055.htm
虚拟仿真业务销售,北京赢康科技股份有限公司,,本科,5-10年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/138489466251246.htm
算法工程师（工作地点：光明新区，班车接送，午餐免费）,深圳雷杜生命科学股份有限公司,,本科,,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/000347481250733.htm
C#/C++开发工程师,深圳市金视电子科技有限公司,,本科,3-5年,15001-20000元/月,20-99人,,http://jobs.zhaopin.com/553974922250472.htm
软件/算法工程师,深圳硅基仿生科技有限公司,,本科,1-3年,10000-20000元/月,20-99人,,http://jobs.zhaopin.com/371348082250017.htm
嵌入式软件工程师,深圳硅基仿生科技有限公司,,本科,,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/371348082250029.htm
美工,深圳市卓琼科技有限公司,,大专,,3500-6000元/月,20-99人,,http://jobs.zhaopin.com/CZ733630740J00015736803.htm
产品经理（Sensor）,深圳市芯智科技有限公司,,大专,1-3年,8000-15000元/月,100-499人,,http://jobs.zhaopin.com/134421402250391.htm
单机 游戏开发工程师,深圳市创乐天地信息科技有限公司,,大专,1-3年,5000-8000元/月,20人,,http://jobs.zhaopin.com/CZ723603840J00048672901.htm
游戏开发工程师（单机）,深圳市创乐天地信息科技有限公司,,大专,1-3年,8000-12000元/月,20人,,http://jobs.zhaopin.com/CZ723603840J00048670701.htm
高级图象算法工程师,广州市白云区新市意诚电子加工厂,,硕士,1-3年,18000-30000元/月,100-499人,,http://jobs.zhaopin.com/662840825250135.htm
电商美工  美工设计,深圳市中泰乐科技有限公司,,大专,1-3年,4000-5500元/月,20-99人,,http://jobs.zhaopin.com/573699722250131.htm
影视后期剪辑师,深圳市巾帼潮商商会,,大专,1-3年,6001-8000元/月,20人,,http://jobs.zhaopin.com/CZ724751540J00015342703.htm
b2c ebay Amazon 速卖通 wish 淘宝电商美工,深圳市中泰乐科技有限公司,,不限,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/573699722250135.htm
视觉软件开发工程师,深圳市捷测电子科技有限公司,,大专,3-5年,6000-8500元/月,20-99人,,http://jobs.zhaopin.com/298689516250037.htm
品牌摄影师,前创汇,,不限,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/284027631250037.htm
